"ticker","hour","datetime","highest_hourly_stock_price"
"SQ","11","2021-11-30 10:00:00-05:00","215.46"
"SQ","11","2021-11-30 10:00:00-05:00","215.46"
"SQ","12","2021-11-30 11:00:00-05:00","210.63"
"SQ","12","2021-11-30 11:00:00-05:00","210.63"
"SQ","12","2021-11-30 11:00:00-05:00","210.63"
"SQ","13","2021-11-30 12:00:00-05:00","209.11"
"SQ","13","2021-11-30 12:00:00-05:00","209.11"
"SQ","13","2021-11-30 12:00:00-05:00","209.11"
"SQ","14","2021-11-30 13:55:00-05:00","208.41"
"SQ","14","2021-11-30 13:55:00-05:00","208.41"
"SQ","14","2021-11-30 13:55:00-05:00","208.41"
"SQ","15","2021-11-30 14:00:00-05:00","209.03"
"SQ","15","2021-11-30 14:00:00-05:00","209.03"
"SQ","15","2021-11-30 14:00:00-05:00","209.03"
"SQ","16","2021-11-30 15:50:00-05:00","210.63"
"SQ","16","2021-11-30 15:50:00-05:00","210.63"
"SQ","16","2021-11-30 15:50:00-05:00","210.63"
"TTD","10","2021-11-30 09:30:00-05:00","110.87"
"TTD","10","2021-11-30 09:30:00-05:00","110.87"
"TTD","10","2021-11-30 09:30:00-05:00","110.87"
"TTD","11","2021-11-30 10:05:00-05:00","110.28"
"TTD","11","2021-11-30 10:05:00-05:00","110.28"
"TTD","11","2021-11-30 10:05:00-05:00","110.28"
"TTD","12","2021-11-30 11:00:00-05:00","105.83"
"TTD","12","2021-11-30 11:00:00-05:00","105.83"
"TTD","12","2021-11-30 11:00:00-05:00","105.83"
"TTD","13","2021-11-30 12:00:00-05:00","103.85"
"TTD","13","2021-11-30 12:00:00-05:00","103.85"
"TTD","13","2021-11-30 12:00:00-05:00","103.85"
"TTD","14","2021-11-30 13:55:00-05:00","104.69"
"TTD","14","2021-11-30 13:55:00-05:00","104.69"
"TTD","14","2021-11-30 13:55:00-05:00","104.69"
"TTD","15","2021-11-30 14:00:00-05:00","105.12"
"TTD","15","2021-11-30 14:00:00-05:00","105.12"
"TTD","15","2021-11-30 14:00:00-05:00","105.12"
"TTD","16","2021-11-30 15:40:00-05:00","104.68"
"TTD","16","2021-11-30 15:40:00-05:00","104.68"
"TTD","16","2021-11-30 15:40:00-05:00","104.68"
